name,brand,price (đ),link_item,link_img,resolution,size,rate,quantity_sale,original price (đ),discount percent
Điện thoại Samsung Galaxy S25 5G 12GB/256GB,Samsung,19990000,https://www.thegioididong.com/dtdd/samsung-galaxy-s25,https://cdn.tgdd.vn/Products/Images/42/333363/samsung-galaxy-s25-mint-thumb-600x600.jpg,Full HD+,6.2,0.0,0.0,22990000,13
Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB,Samsung,30990000,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-ultra,https://cdn.tgdd.vn/Products/Images/42/333347/samsung-galaxy-s25-ultra-titan-sliver-thumb-600x600.jpg,Quad HD+ (2K+),6.9,0.0,0.0,33990000,8
Điện thoại iPhone 16 Pro Max 256GB,iPhone (Apple),32890000,https://www.thegioididong.com/dtdd/iphone-16-pro-max,https://cdn.tgdd.vn/Products/Images/42/329149/iphone-16-pro-max-sa-mac-thumb-600x600.jpg,Super Retina XDR,6.9,4.9,94500.0,34990000,6
Điện thoại iPhone 16 Pro 128GB,iPhone (Apple),27590000,https://www.thegioididong.com/dtdd/iphone-16-pro,https://cdn.tgdd.vn/Products/Images/42/329143/iphone-16-pro-titan-tu-nhien.png,Super Retina XDR,6.3,4.9,10400.0,28990000,4
Điện thoại Samsung Galaxy S24 Ultra 5G 12GB/256GB,Samsung,25990000,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-ultra-5g,https://cdn.tgdd.vn/Products/Images/42/307174/samsung-galaxy-s24-ultra-violet-thumbnew-600x600.jpg,Quad HD+ (2K+),6.8,4.9,24200.0,29990000,13
Điện thoại Samsung Galaxy A16 8GB/128GB,Samsung,5390000,https://www.thegioididong.com/dtdd/samsung-galaxy-a16-8gb-128gb,https://cdn.tgdd.vn/Products/Images/42/331207/samsung-galaxy-a16-green-thumbnew-600x600.jpg,Full HD+,6.7,4.9,43000.0,5890000,8
Điện thoại Xiaomi Redmi Note 14 8GB/128GB,Xiaomi,5490000,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-8gb-128gb,https://cdn.tgdd.vn/Products/Images/42/333147/xiaomi-redmi-note-14-purple-thumbnew-600x600.jpg,Full HD+,6.67,4.9,24100.0,0,0
Điện thoại Xiaomi Redmi Note 14 Pro 8GB/256GB,Xiaomi,7990000,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-pro,https://cdn.tgdd.vn/Products/Images/42/320730/xiaomi-redmi-note-14-pro-black-thumbnew-600x600.jpg,Full HD+,6.67,4.9,7500.0,0,0
Điện thoại OPPO Reno13 F 5G 8GB/256GB,OPPO,9990000,https://www.thegioididong.com/dtdd/oppo-reno13-f-5g,https://cdn.tgdd.vn/Products/Images/42/332936/oppo-reno13-f-blue-thumb-600x600.jpg,Full HD+,6.67,4.9,23900.0,0,0
Điện thoại OPPO Reno13 5G 12GB/256GB,OPPO,15990000,https://www.thegioididong.com/dtdd/oppo-reno13-5g,https://cdn.tgdd.vn/Products/Images/42/332934/oppo-reno13-5g-blue-thumb-600x600.jpg,1.5K,6.59,5.0,3300.0,0,0
Điện thoại realme C75 8GB/128GB,realme,5690000,https://www.thegioididong.com/dtdd/realme-c75-8gb-128gb,https://cdn.tgdd.vn/Products/Images/42/332234/realme-c75-red-thumb-600x600.jpg,Full HD+,6.72,4.9,15100.0,0,0
Điện thoại vivo V40 Lite 8GB/256GB,vivo,8490000,https://www.thegioididong.com/dtdd/vivo-v40-lite-8gb-256gb,https://cdn.tgdd.vn/Products/Images/42/329959/vivo-v40-lite-bac-thumb-600x600.jpg,Full HD+,6.67,4.9,20300.0,0,0
Điện thoại HONOR X9c Smart 5G 12GB/256GB,HONOR,7990000,https://www.thegioididong.com/dtdd/honor-x9c-smart,https://cdn.tgdd.vn/Products/Images/42/333480/honor-x9c-smart-xanh-thumb-600x600.jpg,Full HD+,6.8,5.0,0.0,0,0
Điện thoại Tecno Spark GO 1 3GB/64GB,Tecno,1890000,https://www.thegioididong.com/dtdd/tecno-spark-go-1,https://cdn.tgdd.vn/Products/Images/42/329865/tecno-spark-go-1-white-thumb-600x600.jpg,HD+,6.67,4.9,7600.0,0,0
Điện thoại TCL 406s 4GB/64GB,TCL,1890000,https://www.thegioididong.com/dtdd/tcl-406s,https://cdn.tgdd.vn/Products/Images/42/324994/tcl-406s-blue-thumb-600x600.jpg,HD+,6.6,4.9,6000.0,0,0
Điện thoại iPhone 16 Plus 128GB,iPhone (Apple),24790000,https://www.thegioididong.com/dtdd/iphone-16-plus,https://cdn.tgdd.vn/Products/Images/42/329138/iphone-16-plus-hong-thumb-600x600.jpg,Super Retina XDR,6.7,4.9,4400.0,25990000,4
Điện thoại iPhone 16 128GB,iPhone (Apple),21490000,https://www.thegioididong.com/dtdd/iphone-16,https://cdn.tgdd.vn/Products/Images/42/329135/iphone-16-blue-600x600.png,Super Retina XDR,6.1,4.9,6500.0,22990000,6
Điện thoại Samsung Galaxy A16 5G 8GB/256GB,Samsung,6990000,https://www.thegioididong.com/dtdd/samsung-galaxy-a16-5g,https://cdn.tgdd.vn/Products/Images/42/331204/samsung-galaxy-a16-5g-gold-thumbnew-600x600.jpg,Full HD+,6.7,4.9,34600.0,0,0
Điện thoại Samsung Galaxy A06 4GB/64GB,Samsung,2890000,https://www.thegioididong.com/dtdd/samsung-galaxy-a06-4gb-64gb,https://cdn.tgdd.vn/Products/Images/42/328752/samsung-galaxy-a06-blue-thumb-1-600x600.jpg,HD+,6.7,4.9,82400.0,3190000,9
Điện thoại Xiaomi Redmi Note 14 Pro 5G 8GB/256GB,Xiaomi,9490000,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-pro-5g,https://cdn.tgdd.vn/Products/Images/42/332938/xiaomi-redmi-note-14-pro-5g-xanh-thumbnew-600x600.jpg,1.5K,6.67,4.9,4100.0,0,0
Điện thoại Xiaomi Redmi Note 14 Pro+ 5G 8GB/256GB,Xiaomi,10990000,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-pro-plus,https://cdn.tgdd.vn/Products/Images/42/320731/xiaomi-redmi-note-14-pro-plus-5g-purple-thumbnew-600x600.jpg,1.5K,6.67,4.9,1400.0,0,0
Điện thoại OPPO Reno13 Pro 5G 12GB/512GB,OPPO,18990000,https://www.thegioididong.com/dtdd/oppo-reno13-pro-5g,https://cdn.tgdd.vn/Products/Images/42/332937/oppo-reno13-pro-5g-purple-thumb-600x600.jpg,1.5K,6.83,5.0,1200.0,0,0
Điện thoại OPPO Reno13 F 8GB/256GB,OPPO,8990000,https://www.thegioididong.com/dtdd/oppo-reno13-f,https://cdn.tgdd.vn/Products/Images/42/332935/oppo-reno13-f-purple-thumb-600x600.jpg,Full HD+,6.67,5.0,2400.0,0,0
Điện thoại realme Note 60x 4GB/64GB,realme,2990000,https://www.thegioididong.com/dtdd/realme-note-60x-4gb,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/42/333281/realme-note-60x-4gb-191224-040048-245-600x600.jpg,HD+,6.74,5.0,2900.0,0,0
Điện thoại vivo Y28 8GB/128GB,vivo,5790000,https://www.thegioididong.com/dtdd/vivo-y28,https://cdn.tgdd.vn/Products/Images/42/326016/vivo-y28-vang-thumb-600x600.jpg,HD+,6.68,4.9,44600.0,0,0
Điện thoại HONOR X5b Plus 4GB/128GB,HONOR,2790000,https://www.thegioididong.com/dtdd/honor-x5b-plus,https://cdn.tgdd.vn/Products/Images/42/333770/honor-x5b-plus-blue-thumb-600x600.jpg,HD+,6.56,5.0,0.0,2990000,6
Điện thoại Tecno Spark 20C 8GB/128GB,Tecno,2490000,https://www.thegioididong.com/dtdd/tecno-spark-20c,https://cdn.tgdd.vn/Products/Images/42/325155/tecno-spark-20c-thumb-600x600.jpg,HD+,6.56,4.9,2600.0,0,0
Điện thoại Samsung Galaxy Z Fold6 5G 12GB/256GB,Samsung,36490000,https://www.thegioididong.com/dtdd/samsung-galaxy-z-fold6,https://cdn.tgdd.vn/Products/Images/42/320721/samsung-galaxy-z-fold6-xam-thumbn-600x600.jpg,QXGA+,7.6,4.9,2000.0,43990000,17
Điện thoại iPhone 15 Pro Max 256GB,iPhone (Apple),29690000,https://www.thegioididong.com/dtdd/iphone-15-pro-max,https://cdn.tgdd.vn/Products/Images/42/305658/iphone-15-pro-max-black-thumbnew-600x600.jpg,Super Retina XDR,6.7,4.9,240200.0,30990000,4
Điện thoại iPhone 15 Plus 128GB,iPhone (Apple),22690000,https://www.thegioididong.com/dtdd/iphone-15-plus,https://cdn.tgdd.vn/Products/Images/42/303891/iphone-15-plus-xanh-la-128gb-thumb-600x600.jpg,Super Retina XDR,6.7,4.9,31100.0,22990000,1
Điện thoại Samsung Galaxy A35 5G 8GB/256GB,Samsung,7790000,https://www.thegioididong.com/dtdd/samsung-galaxy-a35-5g,https://cdn.tgdd.vn/Products/Images/42/321772/samsung-galaxy-a35-5g-xanh-thumb-1-600x600.jpg,Full HD+,6.6,4.9,79000.0,9290000,16
Điện thoại Samsung Galaxy S24 FE 5G 8GB/256GB,Samsung,15990000,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-fe-8gb-256gb,https://cdn.tgdd.vn/Products/Images/42/329785/samsung-galaxy-s24-fe-blue-thumb-600x600.jpg,Full HD+,6.7,5.0,6800.0,18490000,13
Điện thoại Xiaomi Redmi 13 6GB/128GB,Xiaomi,3490000,https://www.thegioididong.com/dtdd/xiaomi-redmi-13-6gb-128gb,https://cdn.tgdd.vn/Products/Images/42/325800/redmi-13-blue-thumb-600x600.jpg,Full HD+,6.79,4.9,143500.0,4290000,18
Điện thoại Xiaomi Redmi 14C 6GB/128GB,Xiaomi,3390000,https://www.thegioididong.com/dtdd/xiaomi-redmi-14c-6gb-128gb,https://cdn.tgdd.vn/Products/Images/42/329008/xiaomi-redmi-14c-blue-1-600x600.jpg,HD+,6.88,4.9,27900.0,3690000,8
Điện thoại OPPO A60 8GB/128GB,OPPO,5490000,https://www.thegioididong.com/dtdd/oppo-a60-128gb,https://cdn.tgdd.vn/Products/Images/42/323543/oppo-a60-blue-thumb-600x600.jpg,HD+,6.67,4.9,192800.0,0,0
Điện thoại OPPO A3x 4GB/64GB,OPPO,3490000,https://www.thegioididong.com/dtdd/oppo-a3x-4gb-64gb,https://cdn.tgdd.vn/Products/Images/42/328449/oppo-a3x-red-thumb-600x600.jpg,HD+,6.67,4.9,104400.0,0,0
Điện thoại realme 13+ 5G 12GB/256GB,realme,9890000,https://www.thegioididong.com/dtdd/realme-13-plus-5g,https://cdn.tgdd.vn/Products/Images/42/330619/realme-13-plus-vang-thumb-600x600.jpg,Full HD+,6.67,4.9,1300.0,0,0
Điện thoại vivo V40 5G 12GB/256GB,vivo,12490000,https://www.thegioididong.com/dtdd/vivo-v40-5g,https://cdn.tgdd.vn/Products/Images/42/331985/vivo-v40-5g-cam-hong-thumb-600x600.jpg,1.5K,6.78,4.9,2900.0,0,0
Điện thoại HONOR X5 Plus 4GB/64GB,HONOR,2090000,https://www.thegioididong.com/dtdd/honor-x5-plus,https://cdn.tgdd.vn/Products/Images/42/313306/honor-x5-plus-xanh-thumb-600x600.jpg,HD+,6.56,4.9,14200.0,0,0
Điện thoại Samsung Galaxy A05s 6GB/128GB,Samsung,3690000,https://www.thegioididong.com/dtdd/samsung-galaxy-a05s-6gb,https://cdn.tgdd.vn/Products/Images/42/317530/samsung-galaxy-a05s-sliver-thumbnew-600x600.jpg,Full HD+,6.7,4.9,120500.0,0,0
Điện thoại iPhone 15 128GB,iPhone (Apple),18990000,https://www.thegioididong.com/dtdd/iphone-15,https://cdn.tgdd.vn/Products/Images/42/281570/iphone-15-hong-thumb-1-600x600.jpg,Super Retina XDR,6.1,4.9,37300.0,9990000,5
Điện thoại iPhone 14 Plus 128GB,iPhone (Apple),18990000,https://www.thegioididong.com/dtdd/iphone-14-plus,https://cdn.tgdd.vn/Products/Images/42/245545/iPhone-14-thumb-tim-600x600.jpg,Super Retina XDR,6.7,4.9,10000.0,19990000,5
Điện thoại iPhone 14 128GB,iPhone (Apple),15990000,https://www.thegioididong.com/dtdd/iphone-14,https://cdn.tgdd.vn/Products/Images/42/240259/iPhone-14-plus-thumb-xanh-600x600.jpg,Super Retina XDR,6.1,4.9,13100.0,0,0
Điện thoại Samsung Galaxy A25 5G 8GB/128GB,Samsung,5490000,https://www.thegioididong.com/dtdd/samsung-galaxy-a25-8gb,https://cdn.tgdd.vn/Products/Images/42/319904/samsung-galaxy-a25-5g-xanh-duong-thumb-600x600.jpg,Full HD+,6.5,4.9,73700.0,0,0
Điện thoại Samsung Galaxy S24 5G 8GB/256GB,Samsung,16990000,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-256gb-5g,https://cdn.tgdd.vn/Products/Images/42/319665/samsung-galaxy-s24-yellow-thumbnew-600x600.jpg,Full HD+,6.2,4.9,7800.0,0,0
Điện thoại Xiaomi 14T 5G 12GB/256GB,Xiaomi,11990000,https://www.thegioididong.com/dtdd/xiaomi-14t-5g,https://cdn.tgdd.vn/Products/Images/42/329938/xiaomi-14t-grey-thumb-600x600.jpg,1.5K,6.67,4.9,17500.0,19990000,7
Điện thoại Xiaomi 14T Pro 5G 12GB/256GB,Xiaomi,13790000,https://www.thegioididong.com/dtdd/xiaomi-14t-pro-5g-12gb-256gb,https://cdn.tgdd.vn/Products/Images/42/329940/xiaomi-14t-pro-blue-thumb-600x600.jpg,1.5K,6.67,4.9,4600.0,12990000,18
Điện thoại OPPO A3 8GB/128GB,OPPO,5290000,https://www.thegioididong.com/dtdd/oppo-a3-8gb-128gb,https://cdn.tgdd.vn/Products/Images/42/328454/oppo-a3-black-thumb-1-600x600.jpg,HD+,6.67,4.9,32400.0,0,0
Điện thoại OPPO Reno12 F 8GB/256GB,OPPO,6990000,https://www.thegioididong.com/dtdd/oppo-reno12-f-4g-8gb-256gb,https://cdn.tgdd.vn/Products/Images/42/328306/oppo-reno12-f-4g-green-thumb-600x600.jpg,Full HD+,6.67,4.9,21200.0,0,0
Điện thoại realme C65s 6GB/128GB,realme,4290000,https://www.thegioididong.com/dtdd/realme-c65s,https://cdn.tgdd.vn/Products/Images/42/328605/realme-c65s-blue-thumb-1-600x600.jpg,HD+,6.745,4.9,15800.0,0,0
Điện thoại vivo Y19s 6GB/128GB,vivo,4290000,https://www.thegioididong.com/dtdd/vivo-y19s-6gb-128gb,https://cdn.tgdd.vn/Products/Images/42/331200/vivo-y19s-bac-thumb-600x600.jpg,HD+,6.68,4.9,21500.0,0,0
Điện thoại HONOR X8b 8GB/512GB,HONOR,6190000,https://www.thegioididong.com/dtdd/honor-x8b,https://cdn.tgdd.vn/Products/Images/42/324893/honor-x8b-green-thumb-1-600x600.jpg,Full HD+,6.7,4.9,13200.0,0,0
Điện thoại HONOR X6b 6GB/128GB Tím,HONOR,3390000,https://www.thegioididong.com/dtdd/honor-x6b-6gb-128gb,https://cdn.tgdd.vn/Products/Images/42/327258/honor-x6b-purple-thumb-600x600.jpg,HD+,6.56,4.9,3400.0,16990000,15
